squareMeters,numberOfRooms,hasYard,hasPool,floors,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,cityPartRange_2,cityPartRange_3,cityPartRange_4,cityPartRange_5,cityPartRange_6,cityPartRange_7,cityPartRange_8,cityPartRange_9,cityPartRange_10
1.1189976001805457,0.22279828566167978,0,1,-1.6646635850284397,1,1990,0,0,0.399467233238172,1.705792066228588,0.7069200339741806,1,2,False,False,False,False,False,True,False,False,False
1.0209451875218,1.2987202960617688,0,0,0.9963099679545342,6,1991,1,1,0.3028819994467775,0.35353226295437745,0.7297927085185497,0,3,False,False,False,False,False,True,False,False,False
0.995486578949333,0.7086985484230103,1,1,1.5837976354962298,10,1990,1,1,-0.17900188281460447,-0.9949339014940191,-0.8446097226188584,1,6,False,False,False,False,False,False,False,False,True
-1.1853741721752038,-0.8878308863642185,1,0,0.16691561377802286,7,2007,0,1,1.1492187962663352,-1.1991006455741855,1.1758098621337476,1,8,False,False,False,False,False,False,False,False,False
-1.6244038498547375,0.2922126089132984,0,0,1.5492395374055419,6,2004,1,1,1.6213746693688715,0.3949174137814382,-0.8103007108023047,0,5,False,False,False,False,True,False,False,False,False
-0.7344031113825872,-1.686095603757833,0,1,-0.8698273289426164,6,2003,1,1,-1.1875879752477636,-1.1115020763235735,-0.22323539749683047,0,1,False,False,False,False,False,True,False,False,False
1.6542236984220702,-0.22839481547384138,1,1,0.30514800614077475,3,1994,0,0,1.1078747573412417,1.560599162076983,0.8327197439682108,1,8,False,False,False,True,False,False,False,False,False
-1.0078993052628742,-0.12427333059641342,0,1,0.8235194775010943,7,2000,0,0,-0.2999071395031127,-1.6639938398648346,1.5036515306030385,1,6,False,False,False,False,False,False,False,False,True
1.1492537732295303,-1.6166812805062143,1,1,-0.9735016232146803,5,2017,1,1,-1.556904894385362,-1.1373677955904864,-0.29185342112993784,0,3,False,False,True,False,False,False,False,False,False
-0.5220846192575962,0.6392842251713916,1,1,-1.31908260412156,7,2002,0,1,-0.5441496551698405,0.8711915245495291,-0.18130216083215372,1,7,False,False,False,False,False,False,True,False,False
